Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:50_310,590310,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.01,0.36264,38.5,,,2.26563,-0.65104,-58.8,,,,0,0
00:09:50_320,590320,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.075,0.37607,38.5,,,2.26563,-0.66065,-59,,,,0,0
00:09:50_330,590330,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.38315,38.5,,,2.27073,-0.58293,-59.1,,,,0,0
00:09:50_340,590340,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.39829,38.5,,,2.24636,-0.50433,-59.1,,,,0,0
00:09:50_350,590350,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.39829,38.5,,,2.24636,-0.50433,-59.2,,,,0,0
00:09:50_360,590360,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.39829,38.5,,,2.24636,-0.50433,-59.3,,,,0,0
00:09:50_370,590370,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.39829,38.5,,,2.24636,-0.50433,-59.4,,,,0,0
00:09:50_380,590380,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.42589,38.5,,,2.19214,-0.35478,-59.4,,,,0,0
00:09:50_390,590390,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.42906,38.6,,,2.18186,-0.27769,-59.5,,,,0,0
00:09:50_400,590400,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.43199,38.6,,,2.1875,-0.25615,-59.5,,,,0,0
00:09:50_410,590410,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.13,0.4315,38.6,,,2.1875,-0.21438,-59.6,,,,0,0
00:09:50_420,590420,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.43004,38.6,,,2.18554,-0.18604,-59.6,,,,0,0
00:09:50_430,590430,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.06,0.42759,38.6,,,2.1845,-0.19479,-59.6,,,,0,0
00:09:50_440,590440,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.805,0.42125,38.6,,,2.20905,-0.16869,-59.7,,,,0,0
00:09:50_450,590450,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,1.18,0.41758,38.7,,,2.22988,-0.22043,-59.7,,,,0,0
