Time,TimeMS,Clock,Pulse,Pulse_low,Pulse_high,SpO2,SpO2_low,SpO2_high,Respiratory_rate,Respiratory_rate_low,Respiratory_rate_high,BloodPressure_Sys,BloodPressure_Sys_low,BloodPressure_Sys_high,Temp,Temp_low,Temp_high,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:51_360,591360,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.33407,39.4,,,2.53996,0,-60.2,,,,0,0
00:09:51_370,591370,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.33407,39.4,,,2.53996,0,-60.2,,,,0,0
00:09:51_380,591380,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.35116,39.4,,,2.4398,0,-60.2,,,,0,0
00:09:51_390,591390,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.35116,39.4,,,2.42813,0,-60.2,,,,0,0
00:09:51_400,591400,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.35678,39.4,,,2.40255,0,-60.2,,,,0,0
00:09:51_410,591410,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.36801,39.4,,,2.3741,0,-60.2,,,,0,0
00:09:51_420,591420,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.37363,39.4,,,2.3513,0,-60.2,,,,0,0
00:09:51_430,591430,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.37875,39.4,,,2.3343,0,-60.2,,,,0,0
00:09:51_440,591440,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.38706,39.5,,,2.34838,0,-60.2,,,,0,0
00:09:51_450,591450,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.38999,39.5,,,2.37013,0,-60.2,,,,0,0
00:09:51_460,591460,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.39219,39.5,,,2.38648,0,-60.2,,,,0,0
00:09:51_470,591470,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.39414,39.5,,,2.38009,0,-60.2,,,,0,0
00:09:51_480,591480,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.095,0.39683,39.5,,,2.40402,0,-60.2,,,,0,0
00:09:51_490,591490,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.565,0.39731,39.5,,,2.42627,0,-60.2,,,,0,0
00:09:51_500,591500,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,1.135,0.39731,39.5,,,2.4287,0,-60.2,,,,0,0
00:09:51_510,591510,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.895,0.39658,39.5,,,2.40783,0,-60.2,,,,0,0
00:09:51_520,591520,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.255,0.39536,39.5,,,2.38213,0,-60.2,,,,0,0
00:09:51_530,591530,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.05,0.39219,39.5,,,2.38554,0,-60.2,,,,0,0
00:09:51_540,591540,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.38974,39.5,,,2.37083,0,-60.2,,,,0,0
00:09:51_550,591550,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.38706,39.5,,,2.35312,0,-60.2,,,,0,0
00:09:51_560,591560,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.38462,39.6,,,2.32911,0,-60.2,,,,0,0
00:09:51_570,591570,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.13,0.37949,39.6,,,2.28807,0,-60.2,,,,0,0
00:09:51_580,591580,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.37631,39.6,,,2.24779,0,-60.2,,,,0,0
00:09:51_590,591590,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.37314,39.6,,,2.19543,0,-60.2,,,,0,0
00:09:51_600,591600,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.36996,39.6,,,2.1875,0,-60.2,,,,0,0
00:09:51_610,591610,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.36386,39.6,,,2.19277,0,-60.2,,,,0,0
00:09:51_620,591620,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.36093,39.6,,,2.24983,0,-60.2,,,,0,0
00:09:51_630,591630,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.075,0.358,39.6,,,2.30987,0,-60.2,,,,0,0
00:09:51_640,591640,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.055,0.35238,39.6,,,2.48619,0,-60.2,,,,0,0
00:09:51_650,591650,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.035,0.34994,39.6,,,2.6211,0,-60.2,,,,0,0
00:09:51_660,591660,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.02,0.34799,39.6,,,2.66015,0,-60.2,,,,0,0
00:09:51_670,591670,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.005,0.34579,39.6,,,2.75005,0,-60.2,,,,0,0
00:09:51_680,591680,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.34066,39.6,,,2.83839,0,-60.2,,,,0,0
00:09:51_690,591690,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.03,0.33773,39.6,,,2.86612,0,-60.2,,,,0,0
00:09:51_700,591700,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.06,0.3348,39.6,,,2.91433,0,-60.2,,,,0,0
00:09:51_710,591710,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.1,0.33162,39.6,,,2.92965,0,-60.2,,,,0,0
00:09:51_720,591720,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.14,0.32821,39.6,,,2.92035,0,-60.2,,,,0,0
00:09:51_730,591730,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.175,0.32112,39.6,,,2.88142,0,-60.2,,,,0,0
00:09:51_740,591740,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.215,0.3177,39.6,,,2.85875,0,-60.2,,,,0,0
00:09:51_750,591750,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.245,0.31477,39.6,,,2.84206,0,-60.2,,,,0,0
00:09:51_760,591760,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.26,0.31258,39.6,,,2.85215,0,-60.2,,,,0,0
00:09:51_770,591770,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.265,0.30867,39.5,,,2.87717,0,-60.2,,,,0,0
00:09:51_780,591780,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.26,0.30672,39.5,,,2.89601,0,-60.2,,,,0,0
00:09:51_790,591790,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.24,0.30476,39.5,,,2.89113,0,-60.2,,,,0,0
00:09:51_800,591800,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.21,0.30281,39.5,,,2.90082,0,-60.2,,,,0,0
00:09:51_810,591810,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.145,0.29939,39.5,,,2.87858,0,-60.2,,,,0,0
00:09:51_820,591820,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.09,0.29768,39.5,,,2.83801,0,-60.2,,,,0,0
00:09:51_830,591830,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.29573,39.5,,,2.78964,0,-60.2,,,,0,0
00:09:51_840,591840,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.04,0.29353,39.5,,,2.77131,0,-60.2,,,,0,0
00:09:51_850,591850,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.28913,39.5,,,2.74566,0,-60.2,,,,0,0
00:09:51_860,591860,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.28718,39.5,,,2.72876,0,-60.2,,,,0,0
00:09:51_870,591870,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.28474,39.5,,,2.7341,0,-60.2,,,,0,0
00:09:51_880,591880,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.17,0.2823,39.5,,,2.73922,0,-60.2,,,,0,0
00:09:51_890,591890,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27814,39.5,,,2.72898,0,-60.2,,,,0,0
00:09:51_900,591900,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27643,39.5,,,2.70393,0,-60.2,,,,0,0
00:09:51_910,591910,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27521,39.5,,,2.68955,0,-60.2,,,,0,0
00:09:51_920,591920,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.18,0.27424,39.5,,,2.69531,0,-60.2,,,,0,0
00:09:51_930,591930,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.17,0.27277,39.5,,,2.69531,0,-60.2,,,,0,0
00:09:51_940,591940,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.17,0.27228,39.5,,,2.69531,0,-60.2,,,,0,0
00:09:51_950,591950,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.165,0.27155,39.5,,,2.69531,0,-60.2,,,,0,0
00:09:51_960,591960,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.27106,39.6,,,2.70054,0,-60.2,,,,0,0
00:09:51_970,591970,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.16,0.27033,39.6,,,2.69052,0,-60.2,,,,0,0
00:09:51_980,591980,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.2696,39.6,,,2.66531,0,-60.2,,,,0,0
00:09:51_990,591990,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.155,0.26911,39.6,,,2.65847,0,-60.2,,,,0,0
00:09:52_000,592000,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.15,0.26984,39.6,,,2.65682,0,-60.2,,,,0,0
00:09:52_010,592010,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.15,0.27912,39.6,,,2.61239,0,-60.2,,,,0,0
00:09:52_020,592020,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.15,0.28938,39.6,,,2.55588,0,-60.2,,,,0,0
00:09:52_030,592030,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.15,0.30476,39.6,,,2.54322,0,-60.2,,,,0,0
00:09:52_040,592040,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.32576,39.7,,,2.5393,0,-60.2,,,,0,0
00:09:52_050,592050,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.37851,39.7,,,2.53027,0,-60.2,,,,0,0
00:09:52_060,592060,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.145,0.4061,39.7,,,2.51012,0,-60.2,,,,0,0
00:09:52_070,592070,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.14,0.44005,39.7,,,2.49784,0,-60.2,,,,0,0
00:09:52_080,592080,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.14,0.47741,39.7,,,2.49895,0,-60.2,,,,0,0
00:09:52_090,592090,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.55214,39.7,,,2.47596,0,-60.2,,,,0,0
00:09:52_100,592100,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.135,0.58608,39.7,,,2.45733,0,-60.2,,,,0,0
00:09:52_110,592110,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.13,0.61587,39.7,,,2.46368,0,-60.2,,,,0,0
00:09:52_120,592120,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.65983,39.7,,,2.43958,0,-60.2,,,,0,0
00:09:52_130,592130,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.67375,39.8,,,2.41862,0,-60.2,,,,0,0
00:09:52_140,592140,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.12,0.68205,39.8,,,2.42562,0,-60.2,,,,0,0
00:09:52_150,592150,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.68547,39.8,,,2.40579,0,-60.2,,,,0,0
00:09:52_160,592160,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.68449,39.8,,,2.38308,0,-60.2,,,,0,0
00:09:52_170,592170,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.11,0.67399,39.8,,,2.38527,0,-60.2,,,,0,0
00:09:52_180,592180,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.66545,39.8,,,2.37191,0,-60.2,,,,0,0
00:09:52_190,592190,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.65543,39.8,,,2.34926,0,-60.2,,,,0,0
00:09:52_200,592200,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.64396,39.8,,,2.33887,0,-60.2,,,,0,0
00:09:52_210,592210,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.6188,39.8,,,2.34375,0,-60.2,,,,0,0
00:09:52_220,592220,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.60562,39.8,,,2.34375,0,-60.2,,,,0,0
00:09:52_230,592230,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.59219,39.7,,,2.34375,0,-60.2,,,,0,0
00:09:52_240,592240,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.579,39.7,,,2.34375,0,-60.2,,,,0,0
00:09:52_250,592250,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.55409,39.7,,,2.34375,0,-60.2,,,,0,0
00:09:52_260,592260,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.54286,39.7,,,2.3457,0,-60.2,,,,0,0
00:09:52_270,592270,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.53065,39.7,,,2.34673,0,-60.2,,,,0,0
00:09:52_280,592280,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.08,0.51819,39.7,,,2.32471,0,-60.2,,,,0,0
00:09:52_290,592290,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.075,0.49255,39.7,,,2.30133,0,-60.2,,,,0,0
00:09:52_300,592300,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.07,0.47961,39.7,,,2.30844,0,-60.2,,,,0,0
00:09:52_310,592310,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.07,0.47961,39.7,,,2.30844,0,-60.2,,,,0,0
00:09:52_320,592320,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.035,0.4547,39.7,,,2.27163,0,-60.2,,,,0,0
00:09:52_330,592330,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.015,0.44298,39.7,,,2.26618,0,-60.2,,,,0,0
00:09:52_340,592340,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.41221,39.7,,,2.24904,0,-60.2,,,,0,0
00:09:52_350,592350,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.41221,39.7,,,2.24904,0,-60.2,,,,0,0
00:09:52_360,592360,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.41221,39.7,,,2.24904,0,-60.2,,,,0,0
00:09:52_370,592370,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.015,0.41221,39.7,,,2.24904,0,-60.2,,,,0,0
00:09:52_380,592380,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.015,0.38046,39.8,,,2.14115,0,-60.2,,,,0,0
00:09:52_390,592390,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.03,0.38046,39.8,,,2.11526,0,-60.2,,,,0,0
00:09:52_400,592400,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.07,0.37192,39.8,,,2.06539,0,-60.2,,,,0,0
00:09:52_410,592410,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.36899,39.8,,,2.04475,0,-60.2,,,,0,0
00:09:52_420,592420,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.36654,39.8,,,2.01545,0,-60.2,,,,0,0
00:09:52_430,592430,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.36484,39.8,,,1.99579,0,-60.2,,,,0,0
00:09:52_440,592440,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.36337,39.8,,,1.98856,0,-60.2,,,,0,0
00:09:52_450,592450,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.36337,39.8,,,1.99167,0,-60.2,,,,0,0
00:09:52_460,592460,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.36361,39.8,,,1.98682,0,-60.2,,,,0,0
00:09:52_470,592470,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.36435,39.9,,,2.01253,0,-60.2,,,,0,0
00:09:52_480,592480,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.085,0.36532,39.9,,,2.03125,0,-60.2,,,,0,0
00:09:52_490,592490,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.115,0.36752,39.9,,,2.01547,0,-60.2,,,,0,0
00:09:52_500,592500,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.125,0.36874,39.9,,,1.98,0,-60.2,,,,0,0
00:09:52_510,592510,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.08,0.36996,39.9,,,1.96609,0,-60.2,,,,0,0
00:09:52_520,592520,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.66,0.37118,39.9,,,1.9188,0,-60.2,,,,0,0
00:09:52_530,592530,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,1.145,0.37289,39.9,,,1.85591,0,-60.2,,,,0,0
00:09:52_540,592540,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.575,0.37363,39.9,,,1.80578,0,-60.2,,,,0,0
00:09:52_550,592550,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.23,0.37411,40,,,1.77774,0,-60.2,,,,0,0
00:09:52_560,592560,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.05,0.37436,40,,,1.75772,0,-60.2,,,,0,0
00:09:52_570,592570,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.09,0.37436,40,,,1.71001,0,-60.2,,,,0,0
00:09:52_580,592580,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.37387,40,,,1.65697,0,-60.2,,,,0,0
00:09:52_590,592590,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.37338,40,,,1.64456,0,-60.2,,,,0,0
00:09:52_600,592600,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.37265,40,,,1.62086,0,-60.2,,,,0,0
00:09:52_610,592610,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.105,0.37045,40,,,1.65663,0,-60.2,,,,0,0
00:09:52_620,592620,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.1,0.36923,40,,,1.71036,0,-60.2,,,,0,0
00:09:52_630,592630,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.095,0.36801,40,,,1.80921,0,-60.2,,,,0,0
00:09:52_640,592640,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.08,0.36557,40,,,1.90213,0,-60.2,,,,0,0
00:09:52_650,592650,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.075,0.36484,40,,,1.95513,0,-60.2,,,,0,0
00:09:52_660,592660,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.065,0.36435,40.1,,,2.02097,0,-60.2,,,,0,0
00:09:52_670,592670,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.055,0.36386,40.1,,,2.02801,0,-60.2,,,,0,0
00:09:52_680,592680,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.03,0.35604,40.1,,,2.04366,0,-60.2,,,,0,0
00:09:52_690,592690,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,-0.015,0.35336,40.1,,,2.02134,0,-60.2,,,,0,0
00:09:52_700,592700,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0,0.3514,40.1,,,1.99082,0,-60.2,,,,0,0
00:09:52_710,592710,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.02,0.34969,40.1,,,1.91128,0,0,,,,0,0
00:09:52_720,592720,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.05,0.34774,40.1,,,1.83,-0.00003,0,,,,0,0
00:09:52_730,592730,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.08,0.34261,40.1,,,1.7521,-0.00964,0,,,,0,0
00:09:52_740,592740,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.11,0.33944,40.1,,,1.6122,-0.00516,0,,,,0,0
00:09:52_750,592750,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.145,0.33675,40.1,,,1.50728,0.02391,0,,,,0,0
00:09:52_760,592760,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.185,0.33431,40.1,,,1.44031,0.1765,0,,,,0,0
00:09:52_770,592770,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.225,0.32943,40.1,,,1.37963,0.67301,0.1,,,,0,0
00:09:52_780,592780,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.26,0.32747,40.1,,,1.30508,1.07248,0.3,,,,0,0
00:09:52_790,592790,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.27,0.32601,40.1,,,1.16786,2.17757,0.7,,,,0,0
00:09:52_800,592800,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.275,0.32479,40.1,,,1.04869,3.37029,1.2,,,,0,0
00:09:52_810,592810,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.27,0.32332,40,,,0.71695,2.99878,1.7,,,,0,0
00:09:52_820,592820,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.25,0.32234,40,,,1.14209,6.92734,2.9,,,,0,0
00:09:52_830,592830,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.21,0.32137,40,,,2.01199,12.5388,5,,,,0,0
00:09:52_840,592840,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.16,0.32039,40,,,3.59745,22.88971,8.8,,,,0,0
00:09:52_850,592850,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.08,0.31819,40,,,4.73397,36.43796,14.9,,,,0,0
00:09:52_860,592860,17:43,59,60,100,100,94,100,5,12,18,93,90,120,85,97,99,,,,,,,,,,,,,0.025,0.31746,40,,,4.74788,45.01414,22.4,,,,0,0
